Country,Invoice_Month,O&D_Net_Count,PNR,Primary_Product_Code,Carrier_Code_Validating,Low_Cost_Indicator,Abonnement_SNCF,Carrier_Validating,Departure_Date,Arrival_Date,Ticket_Number,Origin_City,Destination_City,Origin_Country,Destination_Country,Origin_Region,Destination_Region,Directional_City_Pair,Class_Type,O&D_Class_of_Service_Invoice_Predominant,Round_Trip_Indicator,Exchange_Refund_Code,Reason_Code_Description,Booking_Date,Invoice_Date,Client_ID_Name,Level_4_Division_code,Level_4_Division_Desc,Level_12_CDR_Code,Customer_Defined_05,Customer_Defined_06,O&D_Mileage
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-11-08,11/8/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,COACH,,,Blank,,9/15/2022,9/15/2022,ORANGE SA,AA,Orange France,EPR00,ACTION COMMERCIALE,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-21,9/21/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/16/2022,9/19/2022,ORANGE SA,AA,Orange France,EPR00,ACTION COMMERCIALE,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-28,9/28/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/27/2022,9/28/2022,ORANGE SA,AA,Orange France,DBB01,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-12,9/12/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/7/2022,9/7/2022,ORANGE SA,AA,Orange France,AX5BA,ACTIVITE D EQUIPE,,0
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-20,9/20/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,COACH,,,Blank,,9/20/2022,9/20/2022,ORANGE SA,AA,Orange France,SCL01,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-20,10/20/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/27/2022,9/27/2022,ORANGE SA,AA,Orange France,DHO01,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-01,9/1/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/14/2022,9/14/2022,ORANGE SA,AA,Orange France,MAI03,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-12-10,12/10/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/13/2022,9/13/2022,ORANGE SA,AA,Orange France,DHYDE,REUNION IRP MANDATS SOCIAUX,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-08-22,8/22/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/28/2022,9/28/2022,ORANGE SA,AA,Orange France,CWKDN,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-12,9/12/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/9/2022,9/12/2022,ORANGE SA,AA,Orange France,MGO04,ACTIVITE D EQUIPE,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-27,9/27/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/27/2022,9/27/2022,ORANGE SA,AA,Orange France,AMDTR,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-29,9/29/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/28/2022,9/28/2022,ORANGE SA,AA,Orange France,NLESD,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-05,10/5/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/14/2022,9/15/2022,ORANGE SA,AA,Orange France,TVD03,REUNION EXTERNE AU GROUPE,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-01,10/1/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/1/2022,9/2/2022,ORANGE SA,AA,Orange France,EBJMA,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-22,9/22/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/19/2022,9/19/2022,ORANGE SA,AA,Orange France,PRMST,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-20,9/20/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/15/2022,9/20/2022,ORANGE SA,AA,Orange France,01901,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Air,,,,AIR FRANCE,2022-09-06,9/6/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,COACH,,,Blank,,9/5/2022,9/6/2022,ORANGE SA,AA,Orange France,MGO01,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-19,9/19/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/16/2022,9/16/2022,ORANGE SA,AA,Orange France,MCA02,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-01,9/1/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/13/2022,9/13/2022,ORANGE SA,AA,Orange France,EMJ01,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-01,9/1/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/27/2022,9/27/2022,ORANGE SA,AA,Orange France,04601,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-12-20,12/20/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/5/2022,9/7/2022,ORANGE SA,AA,Orange France,ANPGM,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-08-22,8/22/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/28/2022,9/28/2022,ORANGE SA,AA,Orange France,BSKED,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-09-07,9/7/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,9/6/2022,9/7/2022,ORANGE SA,AA,Orange France,FEXPC,REUNION INTERNE ET PROJET,,0
FRANCE,202209 - septembre,1,,Rail,,,,SNCF FRENCH RAIL,2022-10-01,10/1/2022,,PARIS,PARIS,FRANCE,FRANCE,EUROPE,EUROPE,PARIS->PARIS,FIRST,,,Blank,,8/31/2022,9/5/2022,ORANGE SA,AA,Orange France,CWKDN,REUNION INTERNE ET PROJET,,0
